KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,18/3/2024 3:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.03,0.1,37213.7,1.55,-0.51,-0.16,33970.4,99.4,99,6.74,228.7,2.248,22.26,34292.4,0.12,0.25,22290,3.1,0,1.188,NA,-84.8,29.362,1.649,-14.70913,145.3645,5.5,0,12,754.6
,,,STANDARD DEVIATION:,0.02,0.08,23940.3,1.416,0.19,0.06,21849.8,0.6,0.6,0.54,0.8,2.052,14.43,22057.4,0.1,0.29,14337,3.66,0,0,0.01,0.6,0.185,1.465,0,0.00001,1.4,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17E102873,17E102873,18C105282,23A104152,22L104463,22L104463,18C105282,22M100242,22M100242,22M100242,22J106095,23A104152,18C105282,18C105282,17E102873,17E102873,18C105282,23B100516,23B100516,22J100672,22J106095,22J106095,18C105282,23A104152,22F105968,22F105968,22F105968,22F105968,22F105968,22F105968
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
20/3/2024,9:14:11,0,<None>,0.02,0.09,54317.1,0.147,-0.11,-0.03,49631.6,95.2,94.8,6.07,194.2,0.213,32.69,50096.5,0.33,0.84,32563,0.71,0,1.174,8.25,-97.8,29.411,0.604,0,0,0,0,12,758.1
20/3/2024,9:14:12,0,<None>,0.01,0.04,54320.1,0.163,-0.11,-0.03,49635.3,95,94.6,6.06,194.8,0.237,32.69,50100.2,0.29,0.73,32565,0.7,0,1.174,8.25,-97.8,29.41,0.613,0,0,0,0,12,758.1
20/3/2024,9:14:13,0,<None>,0.02,0.06,54322.3,0.18,-0.12,-0.03,49637.6,94.9,94.5,6.05,195.3,0.261,32.69,50102.4,0.25,0.6,32567,0.7,0,1.174,8.25,-97.8,29.41,0.624,0,0,0,0,12,758
20/3/2024,9:14:14,0,<None>,0.02,0.07,54339.8,0.2,-0.1,-0.03,49652.9,94.7,94.4,6.04,195.9,0.291,32.7,50117.9,0.24,0.6,32577,0.7,0,1.174,8.25,-97.8,29.41,0.628,0,0,0,0,12,758.1
20/3/2024,9:14:15,0,<None>,0.01,0.05,54347.3,0.217,-0.08,-0.02,49662.6,94.7,94.3,6.04,196.3,0.315,32.71,50127.4,0.18,0.43,32583,0.71,0,1.174,8.25,-97.8,29.407,0.621,0,0,0,0,12,758
20/3/2024,9:14:16,0,<None>,0.01,0.02,54349.5,0.23,-0.05,-0.01,49665.5,94.6,94.2,6.03,196.8,0.334,32.71,50130.3,0.13,0.29,32585,0.71,0,1.174,8.25,-97.8,29.407,0.624,0,0,0,0,12,758
20/3/2024,9:14:17,0,<None>,0.02,0.08,54350.8,0.25,-0.01,0,49667.3,94.5,94.1,6.03,197.2,0.363,32.71,50132,0.09,0.16,32586,0.7,0,1.174,8.25,-97.8,29.406,0.62,0,0,0,0,12,758
20/3/2024,9:14:18,0,<None>,0.01,0.04,54352.2,0.264,-0.15,-0.04,49668.3,94.4,94,6.02,197.6,0.383,32.71,50133,0.08,0.15,32586,0.7,0,1.174,8.25,-97.7,29.406,0.617,0,0,0,0,12,758.1
20/3/2024,9:14:19,0,<None>,0.01,0.02,54353.2,0.284,-0.17,-0.05,49668,94.4,94,6.02,198,0.413,32.71,50132.8,0.06,0.09,32586,0.69,0,1.174,8.25,-97.7,29.407,0.642,0,0,0,0,12,758
20/3/2024,9:14:20,0,<None>,0,0,54352.5,0.303,-0.19,-0.06,49666.9,94.3,93.9,6.01,198.4,0.44,32.71,50131.8,0.07,0.12,32586,0.69,0,1.174,8.25,-97.7,29.408,0.759,0,0,0,0,12,758.1
20/3/2024,9:14:21,0,<None>,0,0.01,54351,1.346,-0.19,-0.06,49666.5,94.3,93.9,6.01,198.7,1.953,32.71,50131.3,0.07,0.1,32585,0.7,0,1.174,8.24,-97.7,29.407,1.083,0,0,0,0,12,758
20/3/2024,9:14:22,0,<None>,0,-0.02,54351.9,2.558,-0.17,-0.05,49669.6,94.2,93.9,6.01,199.1,3.712,32.71,50134.1,0.07,0.1,32587,0.91,0,1.174,8.24,-97.7,29.404,2.032,0,0,0,0,12,758.1
20/3/2024,9:14:23,0,<None>,0.01,0.02,54353.2,2.129,-0.14,-0.04,49672.1,94.2,93.8,6.01,199.6,3.09,32.72,50136.6,0.07,0.11,32589,1.65,0,1.174,8.24,-97.7,29.403,2.25,-14.64808,145.4546,12.8,0,12,758.1
20/3/2024,9:14:24,0,<None>,0.01,0.04,54353.7,1.917,-0.05,-0.01,49672.9,94.2,93.8,6.01,200.3,2.782,32.72,50137.3,0.08,0.14,32589,3.07,0,1.174,8.24,-97.7,29.403,1.985,-14.64808,145.4546,13.3,0,12,758.1
20/3/2024,9:14:25,0,<None>,0.01,0.04,54353.6,1.876,-0.03,0,49673.7,94.2,93.8,6.01,201.1,2.722,32.72,50138,0.07,0.11,32590,3.41,0,1.174,8.24,-97.7,29.402,1.831,-14.64807,145.4546,11.2,0,12,758
20/3/2024,9:14:26,0,<None>,0.02,0.07,54354,1.782,-0.04,-0.01,49674.1,94.2,93.8,6.01,202,2.585,32.72,50138.4,0.09,0.16,32590,3.57,0,1.174,8.24,-97.7,29.402,1.596,-14.64807,145.4546,11.2,0,12,758.1
20/3/2024,9:14:27,0,<None>,0.02,0.08,54354.3,1.613,-0.03,0,49675.6,94.3,93.9,6.01,202.7,2.341,32.72,50139.8,0.11,0.21,32591,3.64,0,1.174,8.24,-97.7,29.401,1.255,-14.64809,145.4545,11.6,0,12,758
20/3/2024,9:14:28,0,<None>,0.02,0.08,54353.9,1.469,-0.03,0,49677.1,94.3,93.9,6.01,203.4,2.131,32.72,50141.1,0.09,0.18,32592,3.66,0,1.174,8.24,-97.7,29.399,0.961,-14.64811,145.4546,13.8,0,12,758
20/3/2024,9:14:29,0,<None>,0.03,0.1,54352.8,0.347,-0.03,0,49677.6,94.3,93.9,6.02,204,0.503,32.72,50141.5,0.09,0.17,32592,3.65,0,1.174,8.24,-97.6,29.397,0.556,0,0,0,0,12,758
20/3/2024,9:14:30,0,<None>,0.03,0.13,54352,0.14,-0.04,-0.01,49678.4,94.4,94,6.02,204.6,0.203,32.72,50142.1,0.09,0.17,32592,3.67,0,1.174,8.24,-97.6,29.396,0.285,0,0,0,0,12,758.1
